นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
724,0105558005491,บจ.จิม ทอมป์สัน (ประเทศไทย) จำกัด,12/1/2558," 1,000,000 ",การขายผ้าไหมและผลิตภัณฑ์ที่ทำจากผ้าไหมและจากเส้นใยธรรมชาติ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
725,0105558005661,บจ.ไซมิสทริค จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับระบบไฟฟ้าพลังงานหมุนเวียนทุกประเภท ได้แก่พลังงานแสงอาทิตย์,888/225 อาคารมหาทุนพลาซ่า ชั้น 2 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
726,0105558008805,บจ.อัลติเมท ซิสเต็มส์ (ประเทศไทย) จำกัด,16/1/2558," 1,000,000 ",ติดตั้ง รับเหมา แก้ไข จำหน่ายอุปกรณ์ซ่อมบำรุงเกี่ยวกับไฟฟ้า,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัล เวิลด์ ห้องเลขที่ 2982 K ชั้นที่ 29 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
727,0105558009631,บจ.บลูเบล ซิการ์ (ไทยแลนด์) จำกัด,19/1/2558," 1,000,000 ",นำเข้า จำหน่าย บุหรี่ ยาเส้น,540 อาคารเมอร์คิวรี่ทาวเวอร์ ชั้นที่ 17 ห้องเลขที่ 1703 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
728,0105558009798,บจ.พลาเน็ท คาร์ วอช จำกัด,19/1/2558," 1,000,000 ",ประกอบกิจการให้บริการล้าง อัดฉีด ยานพาหนะทุกประเภท,153/3 อาคารโกลเด้นแลนด์ ชั้นที่ 4 ห้องเลขที่ เอ4 ซอยมหาดเล็กหลวง 1 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
729,0105558010648,บจ.ไอเมคยูนิฟอร์ม จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการจำหน่าย เสื้อผ้า หมวก กระเป๋า ของชำร่วย,1322/3-4 ถนนพระราม 6  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330
730,0105558012888,บจ.นวกิจ ลิสซิ่ง จำกัด,22/1/2558," 1,000,000 ",เช่าซื้อรถยนต์ สัญญาเช่าทางการเงินสำหรับยานยนต์,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
731,0105558012934,บจ.ดับเบิลยูเจเจ พร็อพเพอร์ตี้ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการซื้อขายที่ดิน และอสังหาริมทรัพย์ ทุกชนิด,1/1 ตรอกวัดสามง่าม  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
732,0105558013027,บจ.เอ็นวีดีอาร์ จำกัด,22/1/2558," 1,000,000 ",บริการเป็นที่ปรึกษาทางการเงิน จัดทำแผนปรับโครงสร้างหนี้ จัดทำแผนปรับโครงสร้างกิจการ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
733,0105558013060,บจ.จีแอล โฮลดิ้งส์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการเข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดหรือบริษัทจำกัด,"4, 4/1-4/2, 4/4 อาคารศูนย์การค้าเซ็นทรัลเวิลด์ ชั้นที่ 1 ห้องเลขที่ เอฟ110-116 ถนนราชดำริห์  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330"
734,0105558014422,บจ.เทรชเชอ ชิพ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการให้บริการตรวจสอบบัญชีและให้คำปรึกษาด้านการประกอบธุรกิจและภาษี,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้นที่ 29 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
735,0105558014775,บจ.สยาม จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการบริการพาณิชย์อิเล็กทรอนิกส์,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัลเวิล์ด ห้องเลขที่ 2982N ชั้น 29 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
